N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"82,600",500,+0.61%,100,"4,931,040","5,969,783",54.84,"25,469,274",22.56,8.69,
2,SK하이닉스,"133,000","7,000",+5.56%,"5,000","968,243","728,002",49.98,"6,951,498",33.74,4.25,
3,LG화학,"941,000","2,000",+0.21%,"5,000","664,274","70,592",45.33,"253,066",87.92,1.84,
4,NAVER,"398,000","10,000",+2.58%,100,"653,768","164,263",57.21,"1,042,713",79.24,10.56,
5,삼성전자우,"75,500","1,500",+2.03%,100,"621,279","822,887",79.03,"1,818,765",20.62,N/A,
6,삼성SDI,"770,000","19,000",-2.41%,"5,000","529,487","68,765",44.66,"417,926",262.71,2.94,
7,삼성바이오로직스,"793,000","10,000",+1.28%,"2,500","524,688","66,165",10.38,"81,320",147.64,4.77,
8,현대차,"242,000","6,500",+2.76%,"5,000","517,077","213,668",31.05,"1,159,779",57.83,4.32,
9,카카오,"504,000","3,000",+0.60%,500,"446,895","88,670",34.64,"690,139",-559.38,-5.81,
10,셀트리온,"318,500","4,000",+1.27%,"1,000","430,063","135,028",21.33,"847,157",86.08,11.19,
11,기아차,"81,800",800,+0.99%,"5,000","331,587","405,363",34.02,"4,780,975",38.01,6.50,
12,현대모비스,"321,500","3,500",+1.10%,"5,000","305,601","95,055",40.36,"654,265",19.61,7.28,
13,LG전자,"168,000","3,000",-1.75%,"5,000","274,928","163,648",32.07,"2,216,367",36.49,0.22,
14,SK이노베이션,"296,000",0,0.00%,"5,000","273,698","92,466",23.34,"984,108",-11.26,-0.20,
15,LG생활건강,"1,600,000","4,000",+0.25%,"5,000","249,891","15,618",45.94,"24,402",35.85,20.32,
16,삼성물산,"126,000","1,000",-0.79%,100,"235,478","186,887",14.79,"1,084,317",21.11,4.77,
17,POSCO,"263,500","1,500",-0.57%,"5,000","229,737","87,187",51.76,"314,465",24.14,4.18,
18,엔씨소프트,"997,000","2,000",+0.20%,500,"218,882","21,954",50.43,"82,055",39.01,14.72,
19,SK텔레콤,"253,500",500,+0.20%,500,"204,690","80,746",35.76,"309,401",18.67,3.92,
20,SK,"285,500","4,000",-1.38%,200,"200,879","70,360",21.53,"509,257","1,204.64",4.31,
21,KB금융,"43,550",150,-0.34%,"5,000","181,084","415,808",66.77,"2,253,697",5.31,8.92,
22,LG,"99,600","1,400",-1.39%,"5,000","171,867","172,557",35.16,"567,772",14.08,5.87,
23,신한지주,"32,650",400,+1.24%,"5,000","168,670","516,600",58.51,"1,574,844",4.68,9.09,
24,삼성에스디에스,"203,000","3,500",+1.75%,500,"157,077","77,378",11.83,"202,544",29.97,11.76,
25,한국전력,"23,750",0,0.00%,"5,000","152,466","641,964",16.91,"4,844,700",164.93,-3.42,
26,삼성생명,"75,500",100,-0.13%,500,"151,000","200,000",12.40,"603,051",15.16,3.26,
27,삼성전기,"201,500","2,500",+1.26%,"5,000","150,508","74,694",34.80,"574,876",41.28,10.18,
28,아모레퍼시픽,"238,500","2,500",+1.06%,500,"139,423","58,458",32.42,"295,141",383.44,5.36,
29,포스코케미칼,"173,500","11,000",+6.77%,500,"134,399","77,463",7.46,"940,394",389.89,11.57,
30,SK바이오팜,"150,000","1,000",+0.67%,500,"117,470","78,313",4.74,"114,592",-136.36,-313.66,
31,넷마블,"131,000","1,000",+0.77%,100,"112,500","85,878",23.82,"273,330",53.06,3.54,
32,하나금융지주,"37,000",600,+1.65%,"5,000","111,090","300,242",67.36,"1,463,298",4.53,8.77,
33,KT&G,"79,500",100,-0.13%,"5,000","109,148","137,292",39.99,"844,536",11.11,12.32,
34,롯데케미칼,"295,000","3,000",-1.01%,"5,000","101,112","34,275",26.68,"392,900",87.20,5.51,
35,S-Oil,"84,600",700,-0.82%,"2,500","95,245","112,583",76.36,"885,818",-11.34,1.01,
36,한온시스템,"17,350",450,+2.66%,100,"92,614","533,800",19.81,"1,244,824",65.97,14.98,
37,LG디스플레이,"24,800",750,+3.12%,"5,000","88,738","357,816",23.89,"3,872,268",-3.61,-22.35,
38,빅히트,"234,500","7,000",-2.90%,500,"83,538","35,624",9.44,"339,512",N/A,56.47,
39,삼성화재,"170,500","2,000",+1.19%,500,"80,774","47,375",43.84,"242,227",12.47,4.85,
40,한화솔루션,"50,400",900,-1.75%,"5,000","80,572","159,864",18.57,"2,286,436",-92.48,-4.02,
41,현대글로비스,"212,000","8,500",+4.18%,500,"79,500","37,500",34.09,"645,374",11.91,11.25,
42,고려아연,"413,500","1,500",-0.36%,"5,000","78,027","18,870",22.75,"63,483",13.93,9.76,
43,금호석유,"249,500","3,000",+1.22%,"5,000","76,017","30,468",27.56,"616,695",21.35,11.84,
44,한국조선해양,"105,000","1,000",+0.96%,"5,000","74,312","70,773",16.49,"297,101",347.68,1.40,
45,KT,"26,650",150,+0.57%,"5,000","69,586","261,112",43.29,"3,263,553",11.35,4.61,
46,우리금융지주,"9,590",140,+1.48%,"5,000","69,265","722,268",25.00,"1,231,840",5.14,N/A,
47,CJ제일제당,"440,000",0,0.00%,"5,000","66,238","15,054",24.50,"65,924",9.14,3.16,
48,미래에셋대우,"9,860",0,0.00%,"5,000","63,628","645,316",14.86,"2,300,757",10.30,7.56,
49,한국타이어앤테크놀로지,"51,200","2,150",+4.38%,500,"63,424","123,875",41.21,"476,197",24.64,6.03,
50,기업은행,"8,460",60,+0.71%,"5,000","62,491","738,664",10.49,"1,795,360",4.32,7.36,
51,KODEX 200,"42,780",370,+0.87%,0,"54,908","128,350",8.40,"8,691,514",N/A,N/A,
52,LG이노텍,"230,000","18,000",+8.49%,"5,000","54,434","23,667",30.77,"699,714",41.70,4.73,
53,LG유플러스,"12,400",150,-1.20%,"5,000","54,140","436,611",30.02,"4,491,709",6.83,6.30,
54,HMM,"16,400",600,+3.80%,"5,000","53,794","328,011",7.34,"11,746,423",-52.90,-55.46,
55,오리온,"136,000",500,+0.37%,500,"53,769","39,536",42.43,"174,294",19.64,14.24,
56,현대제철,"39,950",150,-0.37%,"5,000","53,312","133,446",19.04,"777,083",-21.64,0.10,
57,한국금융지주,"94,500","3,100",+3.39%,"5,000","52,661","55,726",31.15,"880,796",8.65,18.14,
58,강원랜드,"24,450",0,0.00%,500,"52,308","213,940",22.03,"571,182",-27.53,9.16,
59,아모레G,"63,200",200,+0.32%,500,"52,114","82,458",20.03,"142,301",223.32,4.12,
60,SKC,"137,500",500,-0.36%,"5,000","52,069","37,868",8.70,"405,932",61.03,3.86,
61,이마트,"183,000","2,500",+1.39%,"5,000","51,013","27,876",31.45,"307,410",9.13,2.76,
